pos20 = ['.W.WW...WBBW.BBBBWBW', '..BWW.B.WBBB.WBBW..B', '.WWBB.BBB..WBWW.WBBB', 'WW.WW.WB.WWWBBBBBB..', '..WB..WWB.WBWBWBWW.B', 'BBB.W.WWWWW....B.BBB', '.WB.B..WWWB.BB.WBBWW', 'W..WBB.WBW..BWB.W.BW', '.BB.W.B.BW.WW.B..BB.', '.....W...BWW....WWW.', '.BWB.W.WB.W.BW..B.B.', 'WBBB.WB..WBBW....BBW', 'B...BBWB.WBWWBBBWBWB', 'BBWW.BW.W..WBW.W...B', 'W...WWB.WBWBWW.BB.BW', 'WBWBBBB..BW.W..BBB.B', 'WWWBWBB..WWW..WB..BB', '..BB.WBBB....WWWB.WW', 'W.BBWBBWBBWW...W.W.W', 'BB..BWBWWWW..B.B.BW.', 'WBWBWW...WBW.B....BW', '.W.WBBWBB...W.WW.W.B', 'B.W.WBBBB..BBBBW.BBB', 'BB.B.BBWBWBBW.WBWW..', 'W.WBB.W.B.WWBBBW.BW.', 'WWBB.BW.BWB.W..W.WWB', 'W..W.BBB.BW.BWBW.W.B', 'B.B..W..WBBW.WBW..BW', '.BBBBWW.BWBB.WWWBBWB', '...BB..BWBWWWWBBB.W.', 'BWW.WBBB.B.BWW.BB..W', 'WBW.BB..WBWBWWWW.W.B', 'BWWWWB.WWBWWW...BW..', 'WB...WWW.W.BBWWBBWWB', 'BW..BBW.WB.W.WW.WBWB', '.B.B..WBW..BWWWWW...', 'B.WB.W.W.WW.W.B..WWB', 'W...B.BBWWWB..BBWBW.', 'WBBW.W.BWW.....W.BBB', 'WWBB...WBBB..BBBB..W', 'B.WWWBBWWBB..W.WW.WW', 'WWWW.WBWBBBB.BB.WW.W', '.BB..WW.W.WW..W.WBB.', '.BWB.B..WW.BB.BBWBWW', 'W..W...BW.BBWB.WBBW.', '.WW.BWB...BB..WWW..B', 'BB.WBW.BW.WWWWB.WBBB', 'W..BW...WWB.BW.B.B..', 'W.W.B.W....WW.WWW...', 'BB.WWWWWBW..WWBBWWBW'] 
? ? pos30 = ['W.BB..WWWB...BBBWWBBBBWWWB.B.W', 'WB.W.BBWWBB.BWB.WW..BW..WB.B..', 'BBWWW..BWWBB.BBBBWWBWBBWW..WW.', 'W.WB..WB.BW...B..BBBWWWBWBBBWB', 'W...WW...B.WBBWWW..WW.WBW.W.WB', '.WBW.WW.W.WBBWWBWBBW.BWW.WBW.W', 'WB...BWBWWWWBWB...W.W..W.WW..B', 'WB..B.W.BW.W..WBW.WW.WWW.BBW.B', 'WBBBWB.WBBBBBBWWW..BWB.BBBB.BB', 'B.BBW.WB..WWW.WBB..W..B.B..BWW', 'BB..WWB..WW..WW.BBB.WBW...WBBW', 'WBW.WWB...BWW.BBWB.B.WBBW.W.B.', '.BBB.BBBWB..W..WW....BWWBW...B', 'BB.B....BBB..W.WB..W..BWBBB.W.', 'BBB.WWBB.WBBWWBB....WBBW.B..W.', '.WW.B.BBBBW.B.W.B..BWWW..B.WWW', 'B..BB.WW..B..B..BBWW.WWBB.BB..', '..BW...BBB.....BWWWWBBWBWWW.WB', '.WWWWW..B.WWBBWBWBBB..BW..B.WW', '.WW.W.B.W.BWWBW...WWBWW..W.WW.', '..BW.B.BW.WWWWBW.B..WBB.W.BW.B', 'WB.WBBB..B.WB..BWBBBW.WBW.BBWB', '.BWBWBB.W.W..WWW.W.B....W..WBB', '.WWB.W.WB.BBB....BBWW.W.W.B..W', 'W....W.WBW.WWWB..BBW...BWW.BB.', '..W.BWBWWWBWWBWBWB.W..W.WBWW..', 'BWWWBW.B.W..BWB...BWWBWW.....B', 'WW.W.WWWWBWBWB.WBW.W.WW.WB.BBW', 'BWWWBW.WBB..W..BB..W.W.WW.B..W', 'BBB.WWWB..BBBWW..WBBW..BBB..W.', 'WWB.WB.B..WWB.W..WWBW.WWB..BBW', '..WBBWB.W.WBB.BB.WBWBBW.WWB...', 'W.WBW.WWWB.WW..BWB.B......BB.W', 'BWB.B...B.BWB..BWBBWW..BB..BBW', 'BBWB.B.BBB.W.WBWBB.B.W.BBW.WBW', 'BW..WW.W.BB...B.W.BWBB.WBBW.BB', 'W..W.W.B..BB..WBWB.WB..WW.W..B', '.WB.BB.WBBWW.B.BWWW..BW.B.WBW.', 'W.BBW.BBBWW.WB.W...WB..W.BB.W.', 'W.WWBW.B...BB.WWW.BBBBB.BW...B', 'B..BWWW.WBW.BW.B.BBW.W.....WWB', 'WWW.BBWWWW.W..B.B.WB.WWB.B.BB.', '.W.W.B.B.WB.W.W.BWW.BWB..BBW..', '..WBWW.BWW..W.WW.BWBW..W.WWWBB', 'WWW.B..W.WB.WWWWBWB..BBBWB.W.B', 'BBB..B.BBW..B...WWBW.WWBB.WWBB', '.WB.W....W....BB.WWBBWBW.WWWWB', '.B.WWW.WBB.W....W...WBB..WW.WW', '.WWW..BBBW.WWWWWBBBW..WB.WBWBB', 'W.BWW....BBBBWBBBWWBWBBW.WBWBW']
 pos18 = ['BBBBWBBBWWWWBBBBBW', 'WBBWWBWWBWWBBBBBWB', 'WBBWBWWWBBBWBWWWBB', 'BWBWBBBBWBWWWWWBBB', 'BBWBWBWBWBWWBWWBBB', 'WBBWWBWWWWWBBBWBBW', 'BBWWBWBWBBBBWWBWWB', 'BWWBBBBWWBWBWBBBWB', 'WBWBBWBBWWWWBWBWWB', 'BBWWWBWWWBWBWWBBWW', 'WBWWBBWWWWBWBBBBWW', 'BWBWWBWBBWWWWWWBBB', 'WWBBWWBBBWWBBBWBWW', 'WWWWWWBWBWWBWWBWWB', 'BBWWWBBWWBBWBBBBBW', 'WBBBWBBWWWWBWWBWWB', 'BBWBBWWWBWBWWBWBWB', 'WBBWBBBWWBBBWBWBBB', 'BWWBBWBWBWWBBBWBBB', 'WWBBBWBWBWWBBBBWBW', 'WBWBWWBWBBBBBBBWBW', 'BWWBWBBBBBWWBWWWBB', 'WBBBBBBWWBBWBWWBBW', 'WBWWWBWWWBBWBWBWWW', 'WWBWWBBBBBBBBBBWWB', 'BWBBBWWBBBBWWWBBWW', 'BWBBWBBWBWWWBWWBWW', 'WBWBWWBWBBWBWBWWWW', 'BBWBWWWBWWWBBBBBWW', 'BBWWWBWBWWBBBBWBBW', 'BWWWWWBBWWBBWBBBBW', 'WBBWBWWWWBWWBBWBBB', 'BBBBWWWWBBWWWWWBWB', 'BWWBBWWWBBBWWBWWBW', 'WBWWWWWBBBBBWBBWWW', 'WBWWWBWWWBWBWWWBBW', 'BBBWBBBBWBWWBWBBBW', 'BWWBBBWBWWBWWBWBWW', 'BWBWBWWWWWBBBWBBBW', 'WWWWBWBBWBBBBWWBWW', 'WBWBBBBBWWBBBWBBWB', 'WWWWBBWBBBWBWWWBWW', 'BBWWWWWBBBBBBBBBBW', 'BBWWBWBWBWWBWWWBWB', 'WWWBBBWWBBBBBWBWBW', 'WBWWBWWBWBBBWWBWWW', 'BBWWBBBBBWBWBBWBBB', 'WWWWWBWBBBBBWBWWWB', 'BBBBWBBWBWBWWWWBWW', 'WWWWWWBBWWWBBBBBBB']
pos40=['B..W.WBB.B.B..W...WBBWWW..BWWBBBBBBB..BB', 'W.W..WWBWBBB.B.BBBB.W.BBWW....BBWWBWWB.B', '..WWB.BW.WWBBWBWB..B..BWB.BWBBBWW..WB..B', 'WBBWBW.BB.BWB.BW..W...W.WBWWBBB.BBB.WB.W', 'BBW..B.BBWWB..B.WB..B.BBWB.WWB.W.W..BB.B', 'B.B.B.B.....WBBWWBW.WWW.BB...WBB.BWW.WBW', '.WWWBBWWBWBBBB.WWBW.WBWBBBWB..BB.BWW.BWB', 'BWBBBBW.WW.W..WWW.WB.WB.W.WB.WWBWBB..BBW', 'WB.BWB.BWB..BW.BWWB.BWWBW.W.WBW.WBBB.BBW', 'WB..BB.B.WB...B.W.B.BBBWBWWB.BW....WBBW.', 'BB.W.BBWWWBBB.BWWBBWWB...B.WWBWBBWWWWWW.', '.W.B.BWBWBWBB..BWW.BBWWB..B..WBB.BBWW...', 'BBWWBWBB.B.B..WBBW..W.BWW.WWBWWB..W.WW.W', '.B.W.WB..W.WW.B..W.BWWBWB.BWBWB.WB.W..BW', 'BWBB.WWB.WWWW.BBW..B.BBBBW.BW....WBBWW.B', 'WB..WW..B.BBW..WWWBWWWBW.W.WBW..B.WBWWBB', '.BB.BBBWB.W.WBBB...BW.W..BWBWBBBBBBB.B.W', '.B.WWB.W.WB.BBB..BBBWWBBBWWBBW.WWWB.WB.B', 'WB..W....W.WBBW.BBBBBBBB..WWB.BBB...BW.W', '.WBWWWB.BB...WB.BB.BWWWBB.WB.B.BWBW....B', '.WWBB.WBW.WWBBBW.WWBWWBWBBBW.BWBW.WWW.B.', 'BWBWB.W...WBWB.BWW.BW..WB.WB..BB..WB..BB', '.B..B.B.BWW...WB..B...WBBBWB..WB..B..WB.', 'B...B...BW.WWW.WB.WBW.W...W..B.WWW..W.WW', 'WWBWWB.....WWWWB.WW.WBWW.B.W.B.W...WBWW.', '.B..WBW...WWWW....BW.WWB.BWW.WWB.WBB....', 'BB.WBW.B.B.WWW.W...W.W.BWWBBBW..W.BWWBW.', 'B.WBWB.BBBW.W..WW.BBW.BBB.WB..BBBW.B.W..', 'WWBWBWWB.WWBB..BB.W.B.BW..B.B...W.WWB.WB', '..WB...W.WBBB.WW.WW.BBB...WWWBWWBBBBWWW.', 'WBBW.BB.W..W.WWW.BWB..W..B.WW.WBW...B...', '.BBB.BWWWBW.WBBWWB.W.BWBB.WWBWWB..WWB.B.', '.B.BBBWBWB.BBBBBBW..WWB.BW..B...WBWBB.BW', '.WWBWWWBWB.W.BBBBWBWBWWB.W.BWB...WW.W.BW', 'B.BBWBWW...B.WWWBWBB..BWWW.WBWBB.W.B.WW.', 'B.W.B...B.B.WWWWWWW..WW..B..WBW...WW.B.B', 'WBBBWWWW.B.W.W.BWW.B.BBW.WB....WB.W.BBWW', 'BBW..WWBBBWW.WW..WBWB..WBWW.BBWBWWB..BWB', 'W.WW...BB.WW.W....B.W.BW.W..BBB..W.WB.WB', 'WWWBBB.WWBB.WBW..WWWWBBBWWB.WBWBBWBBBB.W', '.BWB.BBBB.WBB.WB..BB.B.WBB...BW.B.WW.W..', '.WBWBWBWBWB.B.WWBWBWBW..B..B.BB.BB..B.WB', 'WW.W..WWBB.WBW..W..BB.WBW..BB...W.B.W.W.', 'WW.WB.BBWWWWWWWWWBBBB.BBWWWBBBB.B...B.BB', 'WBW....BW..W.W.BBWB.WW.WBWWBB..W.B..B.WW', 'B.BBWW.B.WB.BBW.WBWWBBWBBBWWB.B.WBBWBWBB', 'WBWBBB.BBBWBB.B.W..BWB.B.BWBBW.B.BBWB..W', 'WBBWBBB.WWW.B.WBBB..WWB.WWBBBBB..W.BW.B.', 'BBWBB.BB.B.WB.BWWWWBWBBW.BWWB.W.BW.BBWBB', '.WWW.B...WWBB.B...W....WWBBBW....W..WB.W']
pos16 = ['BWBBWBBBBWWWBWBB', 'WWBWWWBBBWWWWBBB', 'WWBBBBWBBWWWWBWW', 'BWBWWWBWBWBWWBBB', 'BWBBWWBBBWWBWBBW', 'WBBWWWWWBWBWBWBW', 'BWBBWWBWBBWBBBWB', 'WWWWWBWWBWWWBWBW', 'WBBWBWWWBBBWBBBB', 'WWBWWWWWBWBBWWBB', 'WWWWWWWBWBWWBWBB', 'BBBBBWWWBBBWWWBW', 'BBBBBWBWBBBBBWBB', 'BBWWBWBWWBBWBBBB', 'BBWBWBWWWBWBBBBW', 'WBWWBBWBBWWWBBWW', 'WWWWWBBBBBWWWBBB', 'BWWBWBBBWWWWWWWB', 'BWWWBWWBBWWWWBBB', 'BBBBWWBBBBWBBBBW', 'WWWWBBWBBWBWBBBB', 'WWWBBWWWWBWBBWBB', 'WWWBBWBBBWBWWBBB', 'WWBBWBBWWBBWWBBW', 'BBWWBWBWWWBWWWWB', 'BWWBBWWWWWWWBBWB', 'BBWWBWWWBWBWWWBW', 'WBWBWBWWWBBBWBBW', 'WBBBWBWBWWWWBBBW', 'BWBWWBWBBWBBWBBW', 'BBBBBWBBWWBBBWWW', 'BBBWBBWBWBWWBBWB', 'WWBBWBBWWWBWBBWW', 'BWWWWWWBBBWBWBBW', 'BWWBBBWBBBWWWWBB', 'BBWWBWBBBBBBWWBW', 'WWWBBBWWWWBWWWWB', 'WWBBWBBWBWBWWBWW', 'BBBWBWWBBWWWWBWB', 'WBWWWBBWBWWBWBWW', 'WBBWBBBWWWWWWBBB', 'BBBBWWBBWWBWBBWB', 'WBWBWBBBWBWWWWWB', 'WWBBWBBWWBBBWBBW', 'WBWWBWWBBWWBWWWW', 'WBBBBBWBWWBWBWBW', 'WBBBWBBWBWBWWBWW', 'BBWWWWBWWBBBWWBW', 'WBWBBWWBBBBWBBWB', 'WBBWWBBWWBWWWBWB'] ?
pos201 = ['BBWWBWWBWWBWWWWBBWWW', 'BBWWWWWBWWBBWBWBWWWB', 'WBBWWBBWWWBWBBWBWBWB', 'BBWWBBBBWWWWWBWBWBWW', 'WBBBBBBWWWBWWBWBWBWB', 'WBWWWWWWWWWBBWBWWBBB', 'BBBBBBBBBWBBBBWBBBWB', 'WWWBWBWBBBBWBBBBBWWW', 'BWBBBBBBWBBWBWWWWWWB', 'BWWBWWBBWBWWBBWWBBWW', 'BWBWWWWWBBWBBWWBBWBW', 'BWBWBBBBBWBWBBBBWWBB', 'WBBWBWWWBWWBBBBWBWBB', 'WWBWWBWWWBWWWWWWWBBB', 'WBWWWWWWWBWBWBBWBWWB', 'BWWWBBBWBWWBWWWWWWBB', 'BWWBWBBWBBBBBWWWWBWW', 'BBBBBWBWWWBBWWWWBBWW', 'WBWBWWWBBWWBWWWWBBBW', 'WBWWWBBWBWBWBBWBWBWB', 'WWBWBWBWBBBBWWWWBBWW', 'BBWWBWBBWBBBBBBBWBBW', 'WBWBWBBWBBBWWWBWWBBB', 'WBWBWWWBBBBBBWBBWBWW', 'BWWBWWBBBWBBWWWBWWBB', 'BBWBWWWBBWWWWWWWWWWW', 'WWWBBWWBWBWWWBBWWBBW', 'WBWBWWBBWWBWWWBBBWWB', 'BWBBBWWBBBBBWBBBBWBB', 'WWBWBWWBWWWWWBWWWBWW', 'BWWBWBWWBWBWWBBWWWBB', 'BWBWBWBWWWBWWBBBBWWW', 'WWWWWBWWWBWWWWWWWWWB', 'WBWWWWWWBWBWBWBWWWBB', 'WWBBWWBWBWWBWBWWWBWW', 'WBWBWWBBBBWBWWBWBWBB', 'WWBWBWBWBBWWBWBWWWBW', 'WWWWBWBBBWWBBWWBBWBW', 'BBWWBBWBBWBBBBWBBWWW', 'WWBWBWBBBWBWWWBWBBBB', 'BWBWBBBWWBBWBBWWWWBB', 'WWBWWBBWBBWWWWBBBWWB', 'BWBWBWBBBWWWBWBBWBWW', 'WBWBBWBWBWWBWWBWBWWB', 'WBBWBWBBWBWBWBWBBBBW', 'BWBWWWWBBWBBWWWBWWBW', 'BBWWWWWBWWWBBWWWWWBW', 'BWBBBBWBWWWBBWBBWWWB', 'BBWWWWBWWBBWBWBWBWWB', 'WBBWBBBBBBWBBBWWWBBB']


len10_2d = ['WB..W.BBWB/B..W.B.WB.', '.B...WBBWW/W.BB.W.BBB', 'B..BWWB..W/WWWBB.WBWW', 'W.BB.B.WW./WB...BB.WB', 'BWB.BWB.BW/..WBBWWWB.', 'B.BBWBW.WW/..B.BWWW.W', '.B.BWWBWBW/BBWBWW..BW', '.BWWWW..BW/W..W..WBB.', '..WWW.BBBB/W.WBW.BWBW', 'WBB.W..WWW/..WBW.WWB.', 'WWWBB.BBWB/..B.BWBBB.', 'B.B..BW.B./W..WWWB..W', '..W....WBB/B..WBB.WBB', 'WBW.W.WW../.B.W..BWW.', '.BBBBB.B.B/.BWBWWWWBB', '.BBB.BBWBB/.BB.B.B.BW', 'BWB.B.BB../WB..BWB..W', '.WWWBW.BBW/.W..BW....', 'BBWBB.WWW./BW....BBB.', 'WWB.BBWB.W/WBWWBB.BBW', '..WB.W.B.B/BWBW...B..', '.B.WW...B./WWWBBBBB.B', 'BWB.WBB.BB/.BW.B.BB..', 'WWW...WWBW/BB.WWWWWW.', '..BW.WWB.B/WWWW..BB.W', '.W.B.BBBWB/B.WW.W..WW', '.BWWBWBWW./..WWWB....', 'BW...BWWB./WBBBB...BW', 'B.BW..BBB./.B.B.WBBB.', '..BWBB.BW./..WBBBB.B.', 'BWB.WBWWW./W...WWB.BB', 'BW.W.B.W.W/BWW.W..WBB', 'W..BWW.B.W/....WW.W.B', 'WB.BBBBBWW/B.W.BBBBBW', '.BWBWWWBBB/WBW.WBW...', 'BBB.B.BWB./BW.BBBBW.W', 'W.BW..W.WW/BBW.BWBWW.', 'BWBB.BB.../.W.WBBB..W', 'BB.B.BWBWB/WW.B..W.WB', '.WWB.WWWWB/.WWBBB.W.B', 'BWW.WW...B/BB.W.BBWBW', 'W..W.BBWWW/.B...BBBB.', 'BBBBBBBBBW/.BWB..B..W', 'WB.B.BBBW./WWWWWWW.B.', 'WBWW.BB.../B...BBBBB.', '.WWBBBW.BB/WB.WW.WBW.', '.WWW.BWBB./B.W.W.WW.B', '.WBBWB..WB/BWBBWW.BBB', 'BWBBWBB.../BBBB.WW.BW', 'BBWW.WWW.W/W.WB..WW.W'] 

len9_2d = ['.B.BWWWW./WBWB.W..B', 'W....BW../BBB.BB.WW', 'B.B...BB./WBBWWWWB.', '.BB.BWWWB/WBW...B.W', 'WWB.BWBBW/BWWW.WBB.', 'B..WWWBBB/WB.W.WW.W', '.BBWWBW.W/W..BWWBWW', 'BWWW...W./..W.B..WB', 'WW.BWWW.W/W...BWB.W', 'B.WWWWWWB/.BW....BB', '..BB.WW.W/W.BBWB.BB', 'WW..WWWWB/WWB.W.W.W', 'BBBBWW.../W.BWB.B.W', 'BWWWWBB.W/.BBWWWB.W', 'BWW..B.../.BBBWWBWB', '.W.W..WBW/WBW.W.WBB', 'B..BWB.BW/W.BB..WW.', 'BW.B.BW.W/BW..WWWW.', '.WB.BWBBB/B.WWBBWWB', '.....BWW./.WBBWBWWW', '...B.B..B/.B.B..WWB', '.B...WBWB/BBW..WW.W', 'W.WWBBB.W/.WB..WWWW', 'WBWWB.BWB/BBWBBB.WW', '...WBW..B/W.BBBW..W', '.WB.WW.../W.WWW..WW', 'B..BBBWB./.BBWB..W.', '.WWW..B../BBBBBW.BB', 'WB..BB..B/..W..W.BB', 'W..WBWBBB/.BBBWBBW.', 'WWBB.WBBW/WBWWBBW..', 'W..BBWW.B/.BWW.BBW.', 'B.WBWWWWB/BBWWWBWBW', '.WBBWBBWB/W..BW.B.B', 'WBW..BWW./..BB..W..', '.WWW.B.BB/..B..BBWW', 'W.B.WB.../WBBW.BB.W', 'WWBBB..WB/..W.BWWBW', 'BWB.BBWW./B.W.W.BBB', '.WWBBW.BB/.B..WW..B', 'W..W.WBWB/BW.WBBWWB', '.WBB..BW./.B.BBWWBB', '.WWWWBWWB/W..BBWW..', 'B..W.BBWW/B.BB..WWW', '.B..WW.WB/BBWB.BBWW', 'W.BW.BBWW/WBW.BBBBB', 'BBW.BWWWB/W..B...BB', 'BWBB..W../.B.W..BWB', 'W.B.BBBWB/...WWW.W.', 'WWB.W..B./WBWBW.W.B'] 
